Name,Description
Raquithue,"Raquilthue is a game played by the Cañicul Mapuche community in Argentina. It is a hunt game, of a type opoular among indigenous communities in the region. One player plays as a single lion, and the other as fourteen dogs."
"La Yagua","La Yagua is a hunt game played in South America. This version was played by the Chiriguano-Chane people of Argentina.It was usually drawn on the ground and played with seeds or stones."
"Udat Pagada","Udat Pagada is a game played on a  Chaupar board, but ignoring the spaces on the board. It was played up until the early twentieth century by girls. Graffiti suggests that the game could be much older."
"O Shogi (Futsu Shodo-Shu)","O-Shogi was a game played in medieval Japan, recorded in the Futsu Shodo-Shu. It was an enlarged version of Shogi, with 29 different pieces."
Wuzi,"Wuzi is an alignment game played in China. It is thought to be related to either Backgammon or Gomoku."
Tanqi,"Tanqi is a game that was played in East Asia. It is thought to be a precursor to Hasami Shogi."
"Mig Mang","Mig Mang is a territory game played in Tibet on a 17x17 board."
Yi,"Yi is an ancient name for the game Weiqi. While they were probably used interchangeably at the time, this is the older version of the game, which was played on a 17x17 board."
"Sanguo Xiangxi","Sanguo Xiangxi is a Qing Dynasty Chinese board game related to Xiangqi."
Residuel,"Fight over left-overs in this quick territorial game."
"Ex Nihilo","A highly tactical game of battling stacks growing into existence."
"Mongolian Chess","Mongolian Chess is a war game documented in Mongolia during the nineteenth century."
"Cai Xuan","Cai Xuan is a game played since at least the Song Dynasty in China. It is one of a family of games which use dice and in which people attempt to navigate through the Chinese bureaucracy."
Suffragetto,"Suffragetto is a contest of occupation between two opposing factions, the Suffragettes and the Police. The goal of the Suffragettes is to break past Police lines and enter the House of Commons. At the same  time, The  Suffragettes  must  also  prevent  the  Police  from  entering  Albert  Hall, an  oft-used meeting space of the Women’s Social and Political Union. It is the Police’s duty to break up a meeting of the Suffragettes, currently being held in Albert Hall, all the while, preventing the Suffragettes from entering the House of Commons. The game is won by whoever first succeeds in introducing six members into the building guarded by its opponents."
Sik,"Sik is a race game played in the Tidikelt region of Algeria by women and children. Played on a spiral board made in the sand, players race to the center and try not to be captures by the "Bankor.""
Boukerourou,"Boukerourou is a two-row mancala-style board game played in the Tidikelt region of Algeria at the turn of the twentieth century."
"Sig (Mauritania)","Sig is a word used for many games throughout Saharan Africa. This board game is a race game played in the Tagant region of Mauritania. The game is played in the sand, with the central two rows elevated on an artificial dune. "
Dimraw,"Dimraw is an alignment game played in the Trarza region of Mauritania. Unlike most other alignment games, one player starts at a disadvantage, with fewer pieces than their opponent. "
"Uturu Uturu Kaida","Uturu Uturu Kaida is a simple race game played in Senegal. The board is made in the sand, and pieces of wood or iron are used as pieces. It is played with six or seven players, who race their horses to the end of the board."
Nama,"Nama is a race game played in Ségou, Mali. The board is made in the sand, and nut shells are used as dice. The first player who reaches the end plays as the hyena, which eats up the remianing players' pieces."
Piaf,"Piaf is a game played by girls in the Diafarabe area of Mali. It is a race game, in which a mother must prepare herself to leave, travel across the board, and then prepare herself for sleep. Upon doing this, she becomes a hyena, which must seize and eat the other mothers."
Paradis,"Paradis is a race game played by boys, men, and married women in Mali. Players attempt to reach Paradise, in the center of the board, three times."
Tama,"Tama is a game with leaping captures played in Armenia. It allows both orthogonal and diagonal movement, and was played on a checkered board. "
"Omnidirectional Draughts","A draughts variant with both orthogonal and diagonal movement and capture."
Uril,"Uril is a two-row mancala-style board game played in Cabo Verde. It is a popular game on the islands, and also was played by immigrants to Portugal. Men typically play in public, while women generally played in private spaces. "
Alkarhat,"Alkarhat is an alignment game played by Tuareg people of the Sahara. It is used for divination, with a holy man presiding over the game."
"Shanzak Kammar","Shanzak Kammar is a capturing game played in Central Asia. It was particularly popular in Samarkand in the nineteenth century, and was often played on a board drawn on the ground with clay pieces, coins, or pebbles."
"Dum Blas","Dum Blas is a game with leaping captures played in Malaysia during the early twentieth century."
"Ludus Rebellionis (Asymmetric)","The Ludus Rebellionis appears in a sixteenth century Italian manuscript, with three different diagrams. This version is of an asymmetric game, where a King and Queen play against sixteen Pawns."
"Russian Fortress Chess","Russian Fortress Chess is a game that was played in Russia during the eighteenth and nineteenth centuries."
Schuster,"Schuster is a European Tables game played in Sweden by women. "
"Buffa de Baldrac","Buf de Baldriac is a European Tables game played in Spain in the thirteenth century. It is recorded in Alfonso X's Libro de los Juegos."
"Shing Kun T'o (Qing Dynasty)","Shing Kun T'o is a Chinese promotion game. This version was played during the Manchu Dynasty. Players attempt to navigate the Chinese bureaucracy modeled on the board, using dice throws."
"Tjyong Kyeng To","Tjyong Kyeng To, the "Game of Dignitaries," is a promotion game played in Korea. "
"Han Guan Yi","Han Guan Yi is a Chinese promotion game from the eleventh century. The board is unknown, but the rules have been preserved in a book."
Callanish,"On  the  Isle  of  Lewis  (Outer  Hebrides,  Scotland)  are located   some   of   the   most   impressive   prehistoric megalithic  structures  in  Europe.  The  most  important sites  are  around  the  area  of Callanish,  and  include stone circles, cairns, and stone alignments.

The  goal  of Callanish  is  to  create  an  alignment  of  a certain  number  of  stones  or  stacks  of  your  colour orthogonally along any file or rank of the board."
E-Sugoroku,"E-Sugoroku is a race game popular in Japan from the seventeenth to the nineteenth century. There are thousands of differnt boards that were made for the game during this period, but they are all games in which dice rolls determine which space a player proceeds to next, as given on the board."
"Jodo Sugoroku","Jodo Sugoroku is a game played during the fifteenth century, which is thought to be an ancestor of E-Sugoroku."
"Caixuan Baiguan Duo","Caixuan Baiguan Duo is a Chinese promotion game from the Ming Dynasty based on Ming civil and military hierarchy."
"Hulu Wen","Hulu Wen is a race game played in early modern China. Players race to reach the center of a square spiral board."
"Wo Shuo","Wo Shuo was a game popular during the period of Northern and Southern Dynasties (256-589 CE) in China. The game is mentioned in some accounts, but few details are known about gameplay or the board."
"Chang Xing","Chang Xing is a game that was played in medieval China. Eearly sources describe some details of the game, which have led scholars to think it was related to games like Nard and Backgammon. The sources say it developed from the game of Wo Shuo."
"Tap Urdy","Tap Urdy is a two-row mancala-style board game played in Turkmenistan during the early twentieth century. The game is played in holes dug into the ground, and the counters are typically sheep droppings."
Chuka,"Chuka is a puzzle played in Russia. It contains the sowing mechanism seen in many mancala-style board games. "
Throngs,"Throngs a highly abstracted wargame (territorial invasion game) for two players. It is typically played on the intersections of a triangular grid, using Go stones. It is a double-move game: each player takes 2 full turns in succession before the next player takes control. 
            
            Movement: The game is distinguished by the way the power of a moving piece is determined according to the pieces around it: A piece can move as far as the difference in count of the friends and enemies in its immediate vicinity. 
            
            Removing an enemy and adding one's own piece take one power unit each. Remaining power goes into a series of steps or hops that may change direction at empty locations. 
            
            Strategy: Power to travel up to seven units per move can be developed during the game. As the offensive capacity develops, defensive measures are needed, first starting with limiting the mobility of enemy stones by approaching them, then by building walls, and thickening them along the axes of the opponent's catapulting sites (empty locations surrounded by many of that player's own stones.) These sites allow adding a stone and catapulting it up to a distance of 5, and are re-useable. In addition to these methods, defense is by scattering stones behind one's own lines to immobilise enemy stones that invade.
            
            The majority of turns naturally involve placement as well as movement, due to the benefit of gaining material; even though newly placed stones travel a reduced distance due to the cost of their placement. Occasional moves without placement are used mainly to initiate difficult invasions, as they risk simultaneously opening up positional weaknesses.  
            
            Individual stones may be captured by replacement when they are sufficiently out-numbered at a location, which means that towards the end of the game, chains of stones not anchored to a triangle, loop, or board edge will be consumed one-by-one by captures. Thus the shape and nature of territorial walls is worth contesting.
            
            Boards: The standard board is centerless, designed to allow maximal distance moves from the center, while minimizing the size of the board. The hexagonal corner regions help to stabilize invasions in outlying areas. The reverse angles along the edge are slightly less defensible than the other parts, breaking the edges into stategic zones.
            
            The game is easily adapted not only to to different size and shape boards, but also to different grid topologies, while remaining interesting and playable. A 'perforated' grid is included to demonstrate this, but there are many other possibilities as well. 
            
            The center of the board is very advantageous, and a pie rule or balanced starting positions are needed. The standard starting position places the initial pieces near the edges to allow players a wider variety of strategies. Placing multiple starting stones, and or playing on torus boards, leads to finer grained, denser, highly tactical games, while using few starting pieces and larger boards or boards with less connectivity (e.g. boards with holes, and boards on semi-regular grids) lead to a more territorial game.
            
        Play on a torus also eliminates the advantage of a board center, but requires a larger board because invasion is no longer from a single direction."
Warra,"Warra is a mancala-style board game that was played by African American communities in Mississippi and Louisiana during the nineteenth century. "
Nuktagaq,"Nuktagaq is an Inuit hunt game played in the Canadian Arctic. "
Unlur,"Unlur is a game between two people taking turns placing tiles on a hexagonal board. Each player has a different objective to achieve victory. It is classified as an abstract, connecting and unequal forces board game.

This game was the winner of the second Annual Game Design Competition in 2002, whose theme that year was the design of games of unequal forces (organized by Abstract Games magazine, About Board Games, and the Strategy Gaming Society). The name came from a symmetric ancestor game called 'Lur'. When the game was supported on Ludoteka, the Edge rule was added because placing on the edge is usually bad for Black. More information about the origins of the game can be found in Spanish on the designer's blog:
<a href="http://mesadejuegos.blogspot.com/2005/12/unlur.html" target="_blank" class="style1" style="color: #0000EE" />mesadejuegos.blogspot.com</a>
 "
"Dablot Prejjesne","Dablot Prejjesne is a capturing game played by the Sámi people of Finland. The game pits Sámi soldiers, a prince, and a king against peasants and their prince and king."
Tavelspel,"Tavelspel is a game played in northern Sweden during the nineteenth century. This version was documented among Swedish settlers to Dåres, but it was said to have  been much  older, and local to the village."
"Dablo (Small)","Dablo is a word used to refer to capturing games among the Sámi people of northern Scandinavia. This version was played near Frostviken in Sweden on a 5x5 board."
"Dablo (Large)","Dablo is a word used by the Sámi people for capturing games. This version was played on a 7x7 board in Frostviken, Sweden."
Tsukkalavde,"Tsukkalavde is a capturing game played during the nineteenth century by the Sea Sámi people of Norway. It was often played by children and adults on winter evenings."
Tablo,"Tablo is a game that was played among the Sámi people of Sweden.  The board was usually scratched into a  wooden board with a  knife, and sticks were used as pieces, one player keeping the bark on the sticks and the other stripping them. It was usually played by children, but was played by people of all ages."
Ohohla,"Ohohla is a game played by the Papago people of Arizona. It is played on a star-shaped board."
"Nin Adnai Kit Adnat","Nin Adnai Kit Adnat ("It is my move, it is your move") was a capturing game played by the Mi'kmaq people of Nova Scotia. "
Kokonag'n,"Kokonag'n is a game that was played by the Passamaquoddy people of Maine. Unlike other games played by the Passamaquoddy, this one could be played between women and men."
Manmadoangn,"Manmadoängn was a game played by the Abenaki people of Maine."
Wakanpamungthae,"Wakanpamungthae was a capturing game played by the Omaha people of Nebraska. It was  said to have been adopted from settlers from the United States in the middle of the nineteenth century. "
Macheng,"Macheng is a capturing game played in Ming Dynasty China. It was described as a game commonly played in alleys."
"Lu Qi","Lu Qi is a game played in medieval China. It was played on a board well-attested throughout Asia and Europe, and was often found next to patterns for Merels games."
"Lian Qi (A-Type)","Lian Qi is a term used for alignment games in China. This version can be attested since the tenth century CE, and was the most commonly played, judging by the number of boards which have been found."
"Three Musketeers","Invented in 1969 by Haar Hoolim and published in Sid Sackson's A Gamut of Games."
Damenspiel,"Damenspiel is a Draughts game palyed in Germany."
Damspel,"Damspel is a Draughts game played in Sweden."
"Yup'ik Checkers","Yup'ik Checkers is a game played by the Yup'ik people of Nelson Island, Alaska. "
"Leap Frog","Described by H.J.R. Murray in A History of Board-Games Other Than Chess in 1898"
Verquere,"Verquere is a European Tables game known since at least the eighteenth century. It was said to have been invented in Holland, but was also played in England."
Ovalhu,"Ovalhu is a two-row mancala-style board game played in the Maldives."
Morahha,"Morahha is a four-rown mancala-style board game played in seventeenth century Comoros."
Sai,"Sai is a two-row mancala-style board game played on the island of Flores in Indonesia."
Matoe,"Matoe is a two-row mancala-style board game played on the Indonesian island of Sumba."
Katro,"Katro is a unique six-row mancala-style board game played in Madagascar."
Abanga,"Abanga is a two-row mancala-style game board that was played by the Zande people of central Africa in the mid-nineteenth century."
Dodgem,"Invented by Colin Vout in 1972 as described in the book Winning Ways for Your Mathematical Plays."
Erherhe,"Érhérhé is a two-row mancala-style board game played by the Mpongwe people in Gabon."
Adjito,"Adjito is a two-row mancala-style board game played in the Kingdom of Dahomey in the nineteenth century. "
Ouri,"Ouri is a board game played by the Mandinka, Wolof, and Fula people of Senegal. It was played on a mancala board, but the game itself as described seems to be more of a placement game. It was typically played by girls outside."
"Mandinka Game","This game was played on the River Gambia in the early seventeenth century. It is one of the earliest documented mancala-style board games. It was played outside, under shady trees, by men of the Mandinka people."
Worra,"Worra is a two-row mancala-style board game played in the Ashanti Kingdom of the early nineteenth century. The King of Ashanti was said to have played on a golden board in his palace."
"Ashanti Draughts","This game was played in the Ashanti Kingdom in the early nineteenth century. Its name was not recorded, but was said to have been very popular."
Isolation,"Blocking game played on a 6x8 or 7x7 board."
"Ashanti Alignment Game","This alignment game, the name of which was not recorded, was played in the Ashanti Kingdom in the early nineteenth century. It was played on a wooden board with perforations, and the pieces were pegs to be inserted in the board."
Cage,"Cages is a drawless checkers variant that always ends in one player eliminating the other. Mark Steere designed Cage in 2010."
Tami,"Tami is a mancala-style board game played in Accra, Ghana in the early nineteenth century.It was played mostly by women, with grey and green nuts. Sometimes these nuts were covered in gold and worn as necklaces."
DuploHex,"Variant of Hex that includes disc and rings."
"Benin Mancala Game","This game is attested on a bronze game board from Benin. "
Gabatta,"Gabatta is a word used for many mancala-style board games in Ethiopia. This version was a three-row game played in Eritrea in the nineteenth century."
"Matara Game","This game appears to be a two-row mancala-style board which was found on the steps of a building at the Axumite site of Matara in Eritrea."
Qarqis,"Qarqis is a game known from medieval and early modern Ethiopia which seems to refer to an early version of a mancala-style board game."
Luuth,"Luuth is a game played by the Nuer people of Ethiopia. It is similar to a mancala game, but the movement rules only sometimes involve sowing."
Isafuba,"Isafuba is a four-row mancala-style board game played in Mashonaland, Zimbabwe in the nineteenth century."
Moruba,"Moruba is a four-row mancala-style board game played in South Africa."
Andot,"Andot is a two-row mancala-style board game played by the Bega people of Sudan. The game is typically played using pieces of dried camel dung as counters in hole scooped out of the sand."
Ryakati,"Ryakati is a four-row mancala-style board game played by the Bari people of South Sudan. The holes are scooped out of the ground and counters are seeds or pebbles, and represent cows."
Otep,"Otep is a four-row mancala-style board game played by the Bari people of South Sudan. The holes are scooped out of the ground, and the counters are pebbles or seeds which represent cows."
Lobudok,"Lobuduok is a four-row mancala-style board game played by the Bari people in South Sudan. The holes are scooped out of the ground and the coutners are usually seeds or pebbles, which represent cows. It is an unusual mancala-style game because certain holes are out of play during portions of the game."
Mlabalaba,"Mlabalaba (more frequently known as Morabaraba) is an alignment game played in South Africa."
Zola,"Zola is an drawless annihilation game by Mark Steere."
Tsoro,"Tsoro is a four-row mancala-style board game played in Zimbabwe. It was popular among men, and had many different regional variations."
"Tsoro Yemutwelve","Tsoro Yemutwelve is a board game played in Zimbabwe, usually by boys and young men, though sometimes by adults as well. The board is typically scratched on the ground and played with stones."
"Tsoro Yemutatu","Tsoro Yemutatu is an alignment game from Zimbabwe. This version, played on a square board, is played by boys and young men, but sometimes adults and is usually scratched on the ground and played with stones."
"Misoro Tsoro","Tsoro is a four-row mancala-style board game played in Zimbabwe with many regional variations. In this version, certain holes are designated in which a player may end their turn instead of continuing to sow."
"Misoro Tsoro (Additional Capture)","Tsoro is a name for sevela two-row mancala-style board games from Zimbabwe. In this version, multiple captures are allowed, as well as the option to end a sowing in certain holes."
"Musoro Tsoro","Tsoro is a term used for several two-row mancala-style board games played in Zimbabwe. In this version, players choose a special hole, "musoro," from which they may choose to end their turn when they would normally continue sowing, allowing them to accumulate counters there."
"Tsoro (Additional Capture)","Tsoro is a word used for several regional variations of four-row mancala-style board games in Zimbabwe. In this version, players make additional captures when the standard capture is triggered."
"Tsoro (Reentered Captures)","Tsoro is a word used for several regional four-row mancala-style board games in Zimbabwe. In this version, captured counters are added to the player's own side of the board."
Serup,"Serup is a game played by the Diegueño people of California. The rules were not recorded, but it is played with stick dice and on a board similar to other games played in the southwest United States and Mexico."
Barail,"Barail is a European Tables game played in sixteenth century Italy."
Adi,"Adi is a two-row mancala-style board game played by the Ewe people of Togo and Ghana. The game can either be played on wooden boards, which are sometimes elaborately carved, or as holes in the ground using seeds or stones as counters."
Atidada,"Atidada is an alignment game played in what is now Togo and Ghana. The details are not completely described, but it can be played with three, six or 20 pieces per player. The board is made in the ground, and sticks are used as pieces. "
Adidada,"Adidada is a two-row mancala-style game board played by the Ewe people of Togo and Ghana."
Duene,"Duene is  two-row mancala-style board game played by the Ewe people in what is now togo and Ghana."
Yovodi,"Yovodi is a two-row mncala-style board game played by the Ewe people of Togo and Ghana."
Ti,"Ti is a two-row mancala-style baord game played by the Mende people of Sierra Leone. It can be played on pedestaled boards, or as holes in the ground. The holes of the board are called "towns," and the pieces are people moving from town to town."
Shono,"Shono is a two-row mancala-style board game played by the Fang people of Gabon, Equatorial Guinea, and Cameroon."
Njombwa,"Njombwa is a four-row mancala-style board game played by the Yao people of East Africa. "
"Njombwa (One Counter)","Njombwa is a four-row mancala-style board game played by the Yao people of East Africa. In this version, players begin with one counter in each hole."
"Njombwa (Two Counters)","Njombwa is a four-row mancala-style board game played by the Yao people in East Africa. In this version, the game starts with two counters in each hole."
Nsolo,"Nsolo is a four-row mancala-style board game played by the Ngoni people of East Africa."
"Chiana wa Kunja","Chiana wa Kunja is a four-row mancala-style board game played by the Nyanja people of East Africa. Typically, it is played by children."
"Chiana wa Bwalo","Chiana wa Bwalo is a four-row mancala-style board game played by the Nyanja people of East Africa. It is generally played by children."
Greater,"Greater is a theoretical game designed to demonstrate Monte Carlo resistance. There is one optimal (non-losing) move per turn against a competent opponent."
"Greatest Loss","Greatest Loss is a theoretical game designed to demonstrate Monte Carlo resistance. There is one suboptimal (losing) move per turn against a competent opponent."
"Level Chess","A variation of 4-player chess with levels."
"Tsoro (Baia)","Tsoro is a word used for several different board games in Zimbabwe. This game is a four-row mancala-style game with a series of graduated Baia, or captures, on players' subsequent turns."
Msuwa,"Msuwa is a four-row mancala-style board game played by the Nyanja people of East Africa."
"Msuwa wa Kunja","Msuwa wa Kunja is a four-row mancala-style board game played by the Nyanja people of East Africa. "
Sute,"Sute is a four-row mancala-stlye board game played by the Chikunda people of Malawi."
Shisen-Sho,"Shisen-Sho (四川省, Shisenshō; "Sichuan Province"), sometimes referred to as 'Shisen', 'Four Rivers' or simply 'Rivers,' is a Japanese tile-based game which uses Mahjong tiles, and is similar to Mahjong solitaire. The objective of the game is to match similar tiles in pairs until every tile has been removed from the playing field. Numerous computer based versions of the game have been developed."
"Bukharan Shatranj","Bukharan Shatranj is a capturing game that was played in Samarkand, Uzbekistan in the nineteenth century. "
"Persian Chess with a Queen","Persian Chess with a Queen—its indigenous name was not recorded—is a game that was played in the nineteenth century in Samarkand, Uzbekistan."
"Tuvinian Chess","Tuvinian Chess is a game played in Siberia."
Samantsy,"Samantsy is a capturing game played in Madagascar. "
"Goats Wintering","'Goats Wintering' gives the impression of goats gathering into herds in a sheltered area as winter approaches. 
The goal is to maximize the connections between the goats. However, goats may not be placed too close to others of their kind along sight-lines. So there is tension in who can place and move their goats together most efficiently.

The novel movement mechanism is that a goat's movement is restricted to steps that increase its friendly contact, -- or, when increasing friendly contact is not avaiable to it, steps that decrease its contact with competing goats.

When goats get close enough to others of their kind, they can then thus move to join a flock and increase the connections. But frequently they will need the presence of the opponent's goats to be able to get this close to their own flocks. This is because goats allow movement choices for any goats near them: isolated goats can't move. So, the tension is in finding places to enter one's goats that are at a suitable range to gather them together.

There is capture: Moves that fully surround any of the opponents goats cause those goats to leave the play area. 
To prevent cycling, the subordinate kind of goat move is not allowed after a pass. This allows a player with a strong lead to pass until the other player runs out of moves and the game ends.

        
The game is inspired from Infuse by the same Author, but the clumping here is more open and pronounced and clumps are distance-limited, not line-of-sight limited. 

It may be played on either hex grids with adjacent movement, or square grids with ortho-diagonal diagonal movement."
"Tenjiku Shogi","Tenjiku Shogi is a large version of Shogi dated to the Edo period in Japan."
"Lombard Chess","Lombard Chess was a type of Chess game played in Lombardy. It shows some early attempts at speeding up the medieval game."
Schachzabel,"Schachzabel, a form of Chess, was played in early modern Germany with these rules."
"Long Assize","The Long Assize was a version of Chess played in medieval France and England."
"Short Assize","The Short Assize was a form of Chess played in medieval France and England. It is thought to have been a way of speeding up the game by starting the pieces in an advanced position."
Skak,"Skak is the form of Chess played in Iceland. It maintains an old form of winning by the "bare king.""
"Xiangqi (Song)","Xiangqi is a word used for a variety of games played in China, where pieces have different movement values and capture one another. This game was played during the Song Dynasty, on a larger board than is used today."
"Dai Shogi","Dai Shogi is a large version of Shogi played in Japan played in the thirteenth-fourteenth century."
"Dai Dai Shogi","Dai Dai Shogi is a large Shogi game known from at least the nineteenth century in Japan, but which may be older."
"Maka Dai Dai Shogi","Maka Dai Dai Shogi is a large version of Shogi played in the Edo period."
"Tai Shogi","Tai Shogi is a large Shogi variant known from the Edo Period in Japan."
"Wa Shogi","Wa Shogi is a large version of Shogi played in Japan. "
"Heian Sho Shogi","This version of Sho Shogi is the type which was played in the Heian period of medieval Japan. The rules appear to have been different than the rules played today."
"Heian Dai Shogi","Dai Shogi is a large Shogi variant played throughout Japanese history. This version is the oldest, and was played during the Heian Period."
"Ngre E E","Ngré É É is an alignment game played in the Republic of Congo by children."
Katsela,"Katséla is an alignment game played by the Chokwe people of Angola."
"Tswana Game","This game is a mancala-style board game played by the Tswana people of southern Africa."
Ntyenge,"Ntyéngé is a two-row mancala-style board game played by the Mbenge people in Gabon. It is sometimes played on a board, but more frequently is made in the ground and played with seeds or pebbles."
Renette,"Renette is a medieval European game, the rules for which have been lost. It may have been a Tables game where winning is determined by capturing all of the opponent's pieces."
Kanga,"Kanga is a children's game played in the Republic of Congo."
Owana,"Owana is a two-row mancala-style board game played by children in the Republic of Congo."
Ga,"Ga is a children's game played in the Republic of Congo."
Ngaya,"Ngaya is a children's game played in the Republic of Congo."
Kitende,"Kitende is a children's game played in the Republic of Congo."
Ngrin,"Ngrin is an alignment game played by children in the Republic of Congo."
"Greater Loss","Greater Loss is a theoretical game designed to demonstrate Monte Carlo resistance. There is one optimal (non-losing) move per turn against a competent opponent and always a losing move."
"Greater Even Loss","Greater Even Loss is a theoretical game designed to demonstrate Monte Carlo resistance. Each turn there is one strategically optimal move against a competent opponent and many losing moves."
"Nzengue (Small)","Nzengué is an alignment game played by children in the Republic of Comgo, on a board drawn on the ground and using pieces of stone as the playing pieces."
"Nzengue (Large)","Nzengué is a name for alignment games played in the Republic of Congo. This version is played on a larger board, with twelve pieces."
"Banyarwanda Mill Game","This game, the name of which was not given, is played by children of the Banyarwanda people in Rwanda."
"Dintja le Nmutla","Dintja le Nmutla is a hunt game played by the Sotho people of South Africa."
"Rwandan Hunt Game","This hunt board game, played by the Hutu and Tutsi people of Rwanda, was played in the sand and is one of the rare examples of hunt games in Africa."
"Rwandan Alignment Game","This game, the name of which was not recorded, was played by Hutu and Tutsi children in Rwanda."
Umrabaraba,"Umrabaraba is an alignment game played by the Xhosa people of South Africa."
Raeo,"Raeo is a four-row mancala-style board game played by children in South Africa. The counters are conceptualized as cows."
Ngola,"Ngola is a four-row mancala-style board game played in the Republic of Congo."
"Kisolo (Lali)","Kisolo is a term used for some four-row mancala-style board games in central Africa. This version was played by the Lali people of Republic of Congo in the twentieth century."
Ngolo,"Ngolo is a four-row mancala-style board game played in the Democratic Republic of Congo."
10-Ring,"10-Ring is a board game played in Bronze Age Crete, also known as 10/2-Ring, though its original name is not known. Only the layout of the board is known, which takes the form of ten depressions laid out in a circle, divided in half by a line. The depressions are usually made on stone pavements."
Asalto,"Asalto is a hunt game known from early modern Europe."
Dasapada,"Dasapada is a game mentioned I nthe Dialogues of the Buddha, from the third or fourth centuries BCE."
Hujura,"Hujura is an alignment game played in seventeenth century Persia with six pieces per player."
Sgjough,"Sgjough is a larger merels game played in Armenia during the seventeenth century."
Malomjatek,"Malomjatek is an alignment game played in Hungary."
Duqurjin,"Duqurjin is an alignment game played in Turkey."
"Mbenga Alignment Game","This game was played by the Mbenga people of central africa in the late nineteenth and early twentieth century. It is a simple alignment game simililar to others played throughout the world."
Fetach,"Fetach is a capturing game played in Morocco. It was described by Moroccan immigrants in France, who described games played during their childhood in Southern Morocco."
Gwangsanghui,"Gwangsanghui is a large version of Janggi played from the eighteenth century in Korea."
"Gala (Chess Variant)","Gala is a Chess variant known from Germany, which was largely abandoned."
Tams,"Tams is a game with leaping captures played in Singapore."
Pasang,"Pasang is a capturing game played in Brunei. The board is set up in a number of different common arrangements of pieces. It was generally played by women, and particularly when attending marriage, initiation, or circumcision ceremonies. The pieces were generally stores in a cup in the center of the board."
"Medieval Gabata","Gabata is a word used for mancala-style board games played in the Horn of Africa. This version is a 2x9 game known from medieval monumnets from Ethiopia."
Gamacha,"Gamacha is a two-row mancala-style board game played by the Hadiya people of Ethiopia. This version of the game was considered to be the older version of several types played."
"Gamacha (Nobility)","Gamacha is a term used by Hadiya and Kambati people of Ethiopia for mancala-style games. This is a two-row version that was typically played by male nobility of the Hadiya people."
Ngulungu,"Ngulungu is a board game played by Basanga and Baluba children in the Katanga province of the Democratic Republic of Congo. The game has a predetermined outcome, but often children will make a mistake, making the game somewhat unpredictable for them."
Lisolo,"Lisolo is a four-row mancala-stly eboard game played by the Bemba people of central Africa."
Nchayo,"Nchayo is a four-row mancala-style board game played by the Makonde people of Mozambique and Tanzania. The board is generally made of holes in the ground, and stones or fruit seeds are used as counters."
Crand,"Çrand is a capturing game played in Mauritania. It is generally played in the sand with camel droppings and sticks as playing pieces. "
Khreibga,"Khreïbga is a capturing game played in Mauritania."
HexTrike,"Place stones in line of sight of the most recent stone until it is trapped. Whoever dominates the trapped area wins."
"Master Y","Place pieces to connect all three board sides."
Coil,"Coil is an asymmetrical but balanced 2-player connection game on a hexhex7 (or larger) board, where one player tries to form a loop of stones in his color, and the other tries to stop him.  There's a chicken ballot at the start to ensure that the two sides are balanced. Because loops come in a wide range of sizes and shapes, and have many degrees of freedom, the game has rich tactics and strategy.  Small loops threats force players to focus on local battles while large loop threats force them to think globally, and to consider how the local battles fit into the global war. Wise stone placements can contribute to the creation of multiple loops or to defense against multiple loops, leading to layered, multi-dimensional consequences for each turn."
"3D Tic-Tac-Toe","Tic-Tac-Toe on a nxnxn grid"
I,"I is a two-row mancala-style board game played by the Dogon people of Mali. It is generally played by boys in the sand, using pebbles as counters."
"Che Lo","Che Lo is a small alignment game played in early modern china."
"Cashlan Gherra","Cashlan Gherra is a game played on a small board, known from seventeenth century Ireland."
"Xiangqi (Trigault)","This game, a version of Xiangqi played in China in the early seventeenth century, was described by the Jesuit missionary Nicholas Trigault."
"Spartan Chess","Spartan Chess is a chess variant played on a standard 8x8 chess board. The two sides have pieces and pawns with different characteristics and capabilities. Such differences you would expect between opponents on an actual ancient battlefield.

The Black side represents the Spartans and the White the Persians. The Persians have pawns, pieces, an initial placement and move in accord with the rules of orthodox chess. The Spartans have two Kings and with the exception of their Kings, every Spartan playing piece moves differently from any piece found in orthodox chess."
"Tabu Y","Place pieces to connect all three board sides."
Damii,"Damii is a game with leaping captures played in Ghana."
"American Pool Checkers","American Pool Checkers is a game with leaping captured played primarily in Black communities in the United States."
Fivalath,"Fivalath is a game invented by Néstor Romeral Andrés in 2020 that was inspired by Yavalath.  Players must make a line of five of their pieces to win, but will lose if they make a line of 4 first."
Unfair,"Unfair is an asymmetric N-in-a-row game invented by Stephen Tavener in 2015. The two players have different goals and place different numbers of pieces per turn."
"Alquerque de Doze (Portugal)","The name for this game has not been recorded, but it is attested in graffiti throughout the city of Lisbon. It is a board that is unusual for Europe, but common in games known in south and southeast Asia."
"Yaguarete Kora","Yaguarete Kora is a hunt game played by the Mbya Guaraní people of South America. One player plays as one jaguar, and the other plays as fifteen dogs."
